antescedent,consequent
['time_low'],intuitive
intuitive,['time_low']
sensing,['time_high']
['time_high'],sensing
['priority_high'],sensing
active,['time_low']
['time_low'],active
active,['estimation_high']
['estimation_high'],active
['status_done'],active
reflexive,['status_todo']
['status_todo'],reflexive
reflexive,['estimation_high']
sequential,['status_todo']
['status_todo'],sequential
sequential,['time_low']
['time_low'],sequential
sequential,['estimation_high']
global,['status_done']
['status_done'],global
global,['estimation_high']
