,user,project,key,priority
0,Alexey.tregub,dnn,DNN-3344,priority_high
1,Alexey.tregub,dnn,DNN-3957,priority_high
2,Alexey.tregub,dnn,DNN-3966,priority_high
3,Alexey.tregub,dnn,DNN-4117,priority_medium
4,KenGrierson,dnn,DNN-3445,priority_high
5,KenGrierson,dnn,DNN-3585,priority_high
6,KenGrierson,dnn,DNN-4117,priority_high
7,KenGrierson,dnn,DNN-5205,priority_high
8,KenGrierson,dnn,DNN-5615,priority_medium
9,KenGrierson,dnn,DNN-5633,priority_high
10,KenGrierson,dnn,DNN-6335,priority_high
11,KenGrierson,dnn,DNN-6398,priority_high
12,KenGrierson,dnn,DNN-6403,priority_high
13,KenGrierson,dnn,DNN-6488,priority_high
14,KenGrierson,dnn,DNN-7179,priority_high
15,KenGrierson,dnn,DNN-7231,priority_high
16,KenGrierson,dnn,DNN-7623,priority_high
17,KenGrierson,dnn,DNN-7647,priority_high
18,KenGrierson,dnn,DNN-7997,priority_high
19,KenGrierson,dnn,DNN-8056,priority_high
20,adam-mesos,mesos,MESOS-2035,priority_medium
21,adam-mesos,mesos,MESOS-2043,priority_high
22,adam-mesos,mesos,MESOS-2085,priority_high
23,adam-mesos,mesos,MESOS-2205,priority_high
24,adam-mesos,mesos,MESOS-2337,priority_high
25,adam-mesos,mesos,MESOS-2405,priority_high
26,adam-mesos,mesos,MESOS-2455,priority_high
27,adam-mesos,mesos,MESOS-2559,priority_medium
28,adam-mesos,mesos,MESOS-2600,priority_high
29,adam-mesos,mesos,MESOS-2890,priority_high
30,adam-mesos,mesos,MESOS-4154,priority_low
31,adam-mesos,mesos,MESOS-5032,priority_low
32,agrueso,dnn,DNN-7783,priority_medium
33,alejandro.nosenzo,mule,MULE-8015,priority_high
34,alejandro.nosenzo,mule,MULE-8330,priority_low
35,alejandro.nosenzo,mule,MULE-8800,priority_low
36,alejandro.nosenzo,mule,MULE-8806,priority_high
37,alejandro.nosenzo,mule,MULE-8931,priority_low
38,alejandro.nosenzo,mule,MULE-9257,priority_low
39,alejandro.sequeira,mule,MULE-6118,priority_medium
40,alejandro.sequeira,mule,MULE-6145,priority_high
41,alejandro.sequeira,mule,MULE-6355,priority_high
42,alejandro.sequeira,mule,MULE-6417,priority_medium
43,alejandro.sequeira,mule,MULE-6628,priority_high
44,alejandro.sequeira,mule,MULE-6723,priority_high
45,alejandro.sequeira,mule,MULE-6795,priority_high
46,alejandro.sequeira,mule,MULE-6826,priority_medium
47,alejandro.sequeira,mule,MULE-6861,priority_high
48,alejandro.sequeira,mule,MULE-6872,priority_high
49,alejandro.sequeira,mule,MULE-6889,priority_medium
50,alejandro.sequeira,mule,MULE-6920,priority_medium
51,alejandro.sequeira,mule,MULE-6956,priority_high
52,alejandro.sequeira,mule,MULE-6980,priority_medium
53,alejandro.sequeira,mule,MULE-6986,priority_low
54,alejandro.sequeira,mule,MULE-6998,priority_medium
55,alejandro.sequeira,mule,MULE-7005,priority_high
56,alejandro.sequeira,mule,MULE-7022,priority_medium
57,alejandro.sequeira,mule,MULE-7030,priority_medium
58,alejandro.sequeira,mule,MULE-7044,priority_medium
59,alejandro.sequeira,mule,MULE-7084,priority_high
60,alejandro.sequeira,mule,MULE-7093,priority_medium
61,alejandro.sequeira,mule,MULE-7145,priority_medium
62,alejandro.sequeira,mule,MULE-7194,priority_high
63,alejandro.sequeira,mule,MULE-7198,priority_high
64,alejandro.sequeira,mule,MULE-7261,priority_high
65,alejandro.sequeira,mule,MULE-7280,priority_high
66,alejandro.sequeira,mule,MULE-7296,priority_low
67,alejandro.sequeira,mule,MULE-7297,priority_medium
68,alejandro.sequeira,mule,MULE-7302,priority_medium
69,alejandro.sequeira,mule,MULE-7323,priority_low
70,alejandro.sequeira,mule,MULE-7343,priority_high
71,alejandro.sequeira,mule,MULE-7386,priority_high
72,alejandro.sequeira,mule,MULE-7402,priority_medium
73,alejandro.sequeira,mule,MULE-7412,priority_high
74,alejandro.sequeira,mule,MULE-7435,priority_medium
75,alejandro.sequeira,mule,MULE-7457,priority_medium
76,alejandro.sequeira,mule,MULE-7459,priority_high
77,alejandro.sequeira,mule,MULE-7480,priority_high
78,alejandro.sequeira,mule,MULE-7485,priority_high
79,alejandro.sequeira,mule,MULE-7502,priority_high
80,alejandro.sequeira,mule,MULE-7543,priority_high
81,alejandro.sequeira,mule,MULE-7559,priority_high
82,alejandro.sequeira,mule,MULE-7582,priority_high
83,alejandro.sequeira,mule,MULE-7588,priority_low
84,alejandro.sequeira,mule,MULE-7594,priority_medium
85,alejandro.sequeira,mule,MULE-7599,priority_high
86,alejandro.sequeira,mule,MULE-7636,priority_medium
87,alejandro.sequeira,mule,MULE-7645,priority_high
88,alejandro.sequeira,mule,MULE-7674,priority_high
89,alejandro.sequeira,mule,MULE-7675,priority_high
90,alejandro.sequeira,mule,MULE-7687,priority_medium
91,alejandro.sequeira,mule,MULE-7721,priority_medium
92,alejandro.sequeira,mule,MULE-7724,priority_high
93,alejandro.sequeira,mule,MULE-7725,priority_medium
94,alejandro.sequeira,mule,MULE-7744,priority_medium
95,alejandro.sequeira,mule,MULE-7758,priority_medium
96,alejandro.sequeira,mule,MULE-7771,priority_low
97,alejandro.sequeira,mule,MULE-7772,priority_high
98,alejandro.sequeira,mule,MULE-7777,priority_medium
99,alejandro.sequeira,mule,MULE-7780,priority_medium
100,alejandro.sequeira,mule,MULE-7784,priority_medium
