,user,project,key,status
0,Alexey.tregub,dnn,DNN-19924,status_done
1,Alexey.tregub,dnn,DNN-20052,status_done
2,Alexey.tregub,dnn,DNN-20135,status_done
3,Alexey.tregub,dnn,DNN-20297,status_inprogress
4,Alexey.tregub,dnn,DNN-20333,status_done
5,Alexey.tregub,dnn,DNN-20544,status_done
6,Alexey.tregub,dnn,DNN-21594,status_done
7,Alexey.tregub,dnn,DNN-21973,status_done
8,Alexey.tregub,dnn,DNN-23359,status_done
9,Alexey.tregub,dnn,DNN-23417,status_todo
10,Alexey.tregub,dnn,DNN-23571,status_done
11,Alexey.tregub,dnn,DNN-23718,status_done
12,Alexey.tregub,dnn,DNN-23866,status_done
13,Alexey.tregub,dnn,DNN-23949,status_done
14,Alexey.tregub,dnn,DNN-23950,status_done
15,Alexey.tregub,dnn,DNN-23965,status_done
16,Alexey.tregub,dnn,DNN-23992,status_done
17,Alexey.tregub,dnn,DNN-23997,status_done
18,Alexey.tregub,dnn,DNN-24060,status_done
19,Alexey.tregub,dnn,DNN-24075,status_done
20,Alexey.tregub,dnn,DNN-24076,status_done
21,Alexey.tregub,dnn,DNN-24145,status_done
22,Alexey.tregub,dnn,DNN-24161,status_todo
23,Alexey.tregub,dnn,DNN-24216,status_todo
24,Alexey.tregub,dnn,DNN-24334,status_done
25,Alexey.tregub,dnn,DNN-25163,status_done
26,Alexey.tregub,dnn,DNN-25941,status_done
27,Alexey.tregub,dnn,DNN-25964,status_done
28,Alexey.tregub,dnn,DNN-26286,status_done
29,Alexey.tregub,dnn,DNN-26408,status_done
30,Alexey.tregub,dnn,DNN-26420,status_done
31,Alexey.tregub,dnn,DNN-26461,status_done
32,Alexey.tregub,dnn,DNN-26462,status_done
33,Alexey.tregub,dnn,DNN-26537,status_done
34,Alexey.tregub,dnn,DNN-26919,status_done
35,Alexey.tregub,dnn,DNN-27332,status_done
36,Alexey.tregub,dnn,DNN-27397,status_done
37,Alexey.tregub,dnn,DNN-27687,status_done
38,Alexey.tregub,dnn,DNN-27688,status_done
39,Alexey.tregub,dnn,DNN-2941,status_done
40,Alexey.tregub,dnn,DNN-2949,status_done
41,Alexey.tregub,dnn,DNN-2960,status_done
42,Alexey.tregub,dnn,DNN-2962,status_done
43,Alexey.tregub,dnn,DNN-2964,status_todo
44,Alexey.tregub,dnn,DNN-3011,status_done
45,Alexey.tregub,dnn,DNN-3012,status_done
46,Alexey.tregub,dnn,DNN-3014,status_inprogress
47,Alexey.tregub,dnn,DNN-3017,status_done
48,Alexey.tregub,dnn,DNN-3023,status_done
49,Alexey.tregub,dnn,DNN-3025,status_done
50,Alexey.tregub,dnn,DNN-3028,status_done
51,Alexey.tregub,dnn,DNN-3044,status_done
52,Alexey.tregub,dnn,DNN-3085,status_done
53,Alexey.tregub,dnn,DNN-3087,status_done
54,Alexey.tregub,dnn,DNN-3110,status_done
55,Alexey.tregub,dnn,DNN-3116,status_done
56,Alexey.tregub,dnn,DNN-3133,status_done
57,Alexey.tregub,dnn,DNN-3134,status_done
58,Alexey.tregub,dnn,DNN-3146,status_done
59,Alexey.tregub,dnn,DNN-3151,status_done
60,Alexey.tregub,dnn,DNN-3154,status_done
61,Alexey.tregub,dnn,DNN-3188,status_done
62,Alexey.tregub,dnn,DNN-3194,status_done
63,Alexey.tregub,dnn,DNN-3197,status_done
64,Alexey.tregub,dnn,DNN-3214,status_done
65,Alexey.tregub,dnn,DNN-3215,status_done
66,Alexey.tregub,dnn,DNN-3216,status_done
67,Alexey.tregub,dnn,DNN-3220,status_done
68,Alexey.tregub,dnn,DNN-3221,status_done
69,Alexey.tregub,dnn,DNN-3227,status_done
70,Alexey.tregub,dnn,DNN-3228,status_done
71,Alexey.tregub,dnn,DNN-3239,status_done
72,Alexey.tregub,dnn,DNN-3242,status_done
73,Alexey.tregub,dnn,DNN-3243,status_done
74,Alexey.tregub,dnn,DNN-3244,status_done
75,Alexey.tregub,dnn,DNN-3263,status_done
76,Alexey.tregub,dnn,DNN-3268,status_done
77,Alexey.tregub,dnn,DNN-3269,status_done
78,Alexey.tregub,dnn,DNN-3270,status_done
79,Alexey.tregub,dnn,DNN-3271,status_done
80,Alexey.tregub,dnn,DNN-3273,status_done
81,Alexey.tregub,dnn,DNN-3278,status_done
82,Alexey.tregub,dnn,DNN-3283,status_done
83,Alexey.tregub,dnn,DNN-3285,status_done
84,Alexey.tregub,dnn,DNN-3290,status_done
85,Alexey.tregub,dnn,DNN-3292,status_done
86,Alexey.tregub,dnn,DNN-3303,status_done
87,Alexey.tregub,dnn,DNN-3309,status_done
88,Alexey.tregub,dnn,DNN-3321,status_done
89,Alexey.tregub,dnn,DNN-3334,status_done
90,Alexey.tregub,dnn,DNN-3342,status_done
91,Alexey.tregub,dnn,DNN-3343,status_done
92,Alexey.tregub,dnn,DNN-3344,status_done
93,Alexey.tregub,dnn,DNN-3376,status_done
94,Alexey.tregub,dnn,DNN-3377,status_done
95,Alexey.tregub,dnn,DNN-3386,status_done
96,Alexey.tregub,dnn,DNN-3393,status_done
97,Alexey.tregub,dnn,DNN-3400,status_done
98,Alexey.tregub,dnn,DNN-3401,status_done
99,Alexey.tregub,dnn,DNN-3405,status_done
100,Alexey.tregub,dnn,DNN-3408,status_done
101,Alexey.tregub,dnn,DNN-3411,status_done
102,Alexey.tregub,dnn,DNN-3416,status_done
103,Alexey.tregub,dnn,DNN-3430,status_done
104,Alexey.tregub,dnn,DNN-3441,status_done
105,Alexey.tregub,dnn,DNN-3450,status_done
106,Alexey.tregub,dnn,DNN-3452,status_done
107,Alexey.tregub,dnn,DNN-3453,status_done
108,Alexey.tregub,dnn,DNN-3454,status_done
109,Alexey.tregub,dnn,DNN-3457,status_done
110,Alexey.tregub,dnn,DNN-3458,status_done
111,Alexey.tregub,dnn,DNN-3466,status_done
112,Alexey.tregub,dnn,DNN-3474,status_done
113,Alexey.tregub,dnn,DNN-3479,status_done
114,Alexey.tregub,dnn,DNN-3481,status_done
115,Alexey.tregub,dnn,DNN-3484,status_done
116,Alexey.tregub,dnn,DNN-3504,status_done
117,Alexey.tregub,dnn,DNN-3513,status_todo
118,Alexey.tregub,dnn,DNN-3514,status_done
119,Alexey.tregub,dnn,DNN-3542,status_done
120,Alexey.tregub,dnn,DNN-3545,status_done
121,Alexey.tregub,dnn,DNN-3549,status_done
122,Alexey.tregub,dnn,DNN-3550,status_done
123,Alexey.tregub,dnn,DNN-3552,status_done
124,Alexey.tregub,dnn,DNN-3556,status_done
125,Alexey.tregub,dnn,DNN-3557,status_done
126,Alexey.tregub,dnn,DNN-3562,status_done
127,Alexey.tregub,dnn,DNN-3563,status_done
128,Alexey.tregub,dnn,DNN-3565,status_done
129,Alexey.tregub,dnn,DNN-3573,status_inprogress
130,Alexey.tregub,dnn,DNN-3586,status_done
131,Alexey.tregub,dnn,DNN-3594,status_done
132,Alexey.tregub,dnn,DNN-3606,status_done
133,Alexey.tregub,dnn,DNN-3612,status_done
134,Alexey.tregub,dnn,DNN-3613,status_done
135,Alexey.tregub,dnn,DNN-3614,status_done
136,Alexey.tregub,dnn,DNN-3615,status_done
137,Alexey.tregub,dnn,DNN-3616,status_done
138,Alexey.tregub,dnn,DNN-3617,status_done
139,Alexey.tregub,dnn,DNN-3618,status_done
140,Alexey.tregub,dnn,DNN-3650,status_done
141,Alexey.tregub,dnn,DNN-3651,status_done
142,Alexey.tregub,dnn,DNN-3652,status_done
143,Alexey.tregub,dnn,DNN-3653,status_done
144,Alexey.tregub,dnn,DNN-3654,status_done
145,Alexey.tregub,dnn,DNN-3655,status_done
146,Alexey.tregub,dnn,DNN-3656,status_done
147,Alexey.tregub,dnn,DNN-3657,status_done
148,Alexey.tregub,dnn,DNN-3658,status_done
149,Alexey.tregub,dnn,DNN-3659,status_done
150,Alexey.tregub,dnn,DNN-3660,status_done
151,Alexey.tregub,dnn,DNN-3661,status_done
152,Alexey.tregub,dnn,DNN-3662,status_done
153,Alexey.tregub,dnn,DNN-3663,status_done
154,Alexey.tregub,dnn,DNN-3664,status_done
155,Alexey.tregub,dnn,DNN-3665,status_done
156,Alexey.tregub,dnn,DNN-3666,status_done
157,Alexey.tregub,dnn,DNN-3667,status_done
158,Alexey.tregub,dnn,DNN-3668,status_done
159,Alexey.tregub,dnn,DNN-3669,status_done
160,Alexey.tregub,dnn,DNN-3676,status_done
161,Alexey.tregub,dnn,DNN-3684,status_done
162,Alexey.tregub,dnn,DNN-3688,status_done
163,Alexey.tregub,dnn,DNN-3693,status_done
164,Alexey.tregub,dnn,DNN-3702,status_done
165,Alexey.tregub,dnn,DNN-3706,status_done
166,Alexey.tregub,dnn,DNN-3707,status_done
167,Alexey.tregub,dnn,DNN-3708,status_done
168,Alexey.tregub,dnn,DNN-3712,status_done
169,Alexey.tregub,dnn,DNN-3716,status_done
170,Alexey.tregub,dnn,DNN-3718,status_done
171,Alexey.tregub,dnn,DNN-3720,status_done
172,Alexey.tregub,dnn,DNN-3724,status_done
173,Alexey.tregub,dnn,DNN-3739,status_done
174,Alexey.tregub,dnn,DNN-3748,status_done
175,Alexey.tregub,dnn,DNN-3759,status_done
176,Alexey.tregub,dnn,DNN-3761,status_done
177,Alexey.tregub,dnn,DNN-3763,status_done
178,Alexey.tregub,dnn,DNN-3764,status_done
179,Alexey.tregub,dnn,DNN-3766,status_done
180,Alexey.tregub,dnn,DNN-3774,status_done
181,Alexey.tregub,dnn,DNN-3777,status_done
182,Alexey.tregub,dnn,DNN-3779,status_done
183,Alexey.tregub,dnn,DNN-3780,status_done
184,Alexey.tregub,dnn,DNN-3793,status_done
185,Alexey.tregub,dnn,DNN-3797,status_done
186,Alexey.tregub,dnn,DNN-3798,status_done
187,Alexey.tregub,dnn,DNN-3817,status_done
188,Alexey.tregub,dnn,DNN-3824,status_done
189,Alexey.tregub,dnn,DNN-3825,status_done
190,Alexey.tregub,dnn,DNN-3906,status_done
191,Alexey.tregub,dnn,DNN-3926,status_done
192,Alexey.tregub,dnn,DNN-3931,status_done
193,Alexey.tregub,dnn,DNN-3939,status_done
194,Alexey.tregub,dnn,DNN-3941,status_done
195,Alexey.tregub,dnn,DNN-3949,status_done
196,Alexey.tregub,dnn,DNN-3964,status_done
197,Alexey.tregub,dnn,DNN-3966,status_done
198,Alexey.tregub,dnn,DNN-3967,status_done
199,Alexey.tregub,dnn,DNN-3981,status_done
200,Alexey.tregub,dnn,DNN-4004,status_done
201,Alexey.tregub,dnn,DNN-4012,status_done
202,Alexey.tregub,dnn,DNN-4025,status_done
203,Alexey.tregub,dnn,DNN-4029,status_done
204,Alexey.tregub,dnn,DNN-4031,status_done
205,Alexey.tregub,dnn,DNN-4034,status_done
206,Alexey.tregub,dnn,DNN-4037,status_done
207,Alexey.tregub,dnn,DNN-4040,status_done
208,Alexey.tregub,dnn,DNN-4051,status_done
209,Alexey.tregub,dnn,DNN-4056,status_done
210,Alexey.tregub,dnn,DNN-4075,status_todo
211,Alexey.tregub,dnn,DNN-4078,status_todo
212,Alexey.tregub,dnn,DNN-4083,status_done
213,Alexey.tregub,dnn,DNN-4093,status_done
214,Alexey.tregub,dnn,DNN-4114,status_done
215,Alexey.tregub,dnn,DNN-4171,status_done
216,Alexey.tregub,dnn,DNN-4246,status_done
217,Alexey.tregub,dnn,DNN-4249,status_todo
218,Alexey.tregub,dnn,DNN-4250,status_todo
219,Alexey.tregub,dnn,DNN-4267,status_done
220,Alexey.tregub,dnn,DNN-4279,status_done
221,Alexey.tregub,dnn,DNN-4280,status_done
222,Alexey.tregub,dnn,DNN-4281,status_done
223,Alexey.tregub,dnn,DNN-4287,status_done
224,Alexey.tregub,dnn,DNN-4288,status_done
225,Alexey.tregub,dnn,DNN-4289,status_done
226,Alexey.tregub,dnn,DNN-4290,status_done
227,Alexey.tregub,dnn,DNN-4291,status_done
228,Alexey.tregub,dnn,DNN-4292,status_done
229,Alexey.tregub,dnn,DNN-4293,status_done
230,Alexey.tregub,dnn,DNN-4294,status_done
231,Alexey.tregub,dnn,DNN-4295,status_done
232,Alexey.tregub,dnn,DNN-4296,status_done
233,Alexey.tregub,dnn,DNN-4297,status_done
234,Alexey.tregub,dnn,DNN-4298,status_done
235,Alexey.tregub,dnn,DNN-4299,status_done
236,Alexey.tregub,dnn,DNN-4300,status_done
