,key,project,author,field,created,text,textLength
332,XD-3100,xd,lukasz.nowanski@emc.com,description,2015-05-26 07:47:52.316,"Using 1 when deploying taps causes duplication of messages in those modules. This impacts balancing of the containers and modules in a cluster as messages should not be duplicated across modules if the same module is deployed twice to two containers in order to spread the load. We use taps quite heavily in our project mainly for analytics of the life feed in real time but due to issue we have discovered and described in this bug we are currently facing a limitation where heavily processing modules can not be load balanced across the cluster as they are causing duplication of the messages and therefore the same module deployed to two containers would still process the same message twice. To demonstrate the problem please see test case scenario set up below: h4. 1. Environment - Spring-XD version - Running two spring-xd containers and one spring-xd admin h4. 2. Set up Stream definition is as follows: stream create ""syslog-udp transform log"" stream deploy stream create transform + ""TAPPED ""' log"" stream deploy Please refer to the screen shots attached to see that after deploying those two streams we have: - streams successfully deployed ( ) - streams successfully deployed with count 2 to both containers ( ) - 5 queues created in Rabbit ( ) where two were created for the syslog-udp collector as a result of using - this is causing messages to be duplicated. Normally the expectation would be to have only one queue for the tap h4. 3. Test input data I have sent a very simple UDP message to the listening udp collector running on second container: echo h4. 4. Test output data in the logs ( and ) h5. Expected result: Below messages logged only on 1 container (it does not matter which one) INFO - Below message logged only on one container (it does not matter which one) INFO - TAPPED h5. Actual result: Stream that has been create as a tap has duplicated the same message and as a result the same message was proccessed twice on both containers by the same module ( transformer ) and logged twice to the console on both containers Container01: INFO - TAPPED Container02: INFO - INFO - TAPPED",2110
361,XD-2996,xd,mbogoevici,description,2015-06-07 20:11:07.724,"As a developer, I want that the Spring XD partitioning process targets Kafka bus partitions directly, so that the design of my stream processing application is easier to understand and the order of messages is not altered Current situation - Spring XD partitioning logic that builds on top of Kafka partitioning; - The number of Spring XD partitions is not explicitly configured (it's inferred from the number of consumer modules) - If the concurrency of the consumer modules is 1, then Spring XD partitions are matched with Kafka partitions; - If the concurrency of the consumer modules is n, then a Spring XD partition uses n Kafka partitions, and the message bus distributes messages across the Kafka partitions that correspond to the Spring XD partitions; - this could be confusing to the end user, especially if they are used to the Kafka partitioning process; - this can also lead to changes of ordering between messages, as messages within the same Spring XD partitions will be sent to different Kafka partitions (this only happens if the concurrency of the receiving module is higher than 1) Improvement: - the number of Spring XD partitions does not need to be equal to the number of modules (must be higher or equal, though, so that consumers can be created), and should be configured explicitly - using the property - (as an option, the module count * concurrency can be used as a default) - as a result, in the case of Kafka there will always be a match between Kafka partitions and Spring XD partitions, optionally processed by fewer modules than the partition count;",1580
1253,XD-705,xd,mark.pollack,description,2013-08-19 09:34:26.696,"When a job is created in SpringXD, a for that job is also created. The listener for that channel will receive a message, be able to take the and other launch information from the message, and be able to launch run the job. NOTE: I can see a few other stories that should probably be made to break this up after writing it. I put estimate of 10 for now, but we should break this up. Here are some suggestions 1. create data only equivalent with primitive types 2. create jobLauncher source 3. create processor 4. Refactoring of aliasHing to use a callback strategy. job create helloWorldJob ""myjob The XD-Container that receives the deploy request message will create a module application context, will also create a channel with the Channel registry named after the job, :myJob. This should be a pub sub channel from the point of view of the middleware. From the point of view of the spring integration channel, it should ideally be of the utor channel. There is a limitation in the current implementation of now as only creates direct channels. The boolean aliasHint should probably be extended to some type of callback that creates a channel. The aliasHint was added to address the case of creating or looking up a queue backed channel or a direct channel. There will be a consumer on the SI channel in the module application context that will be responsible for getting the job launch information and launching the job. The launching of the job may need to be explicitly done in a separate thread if direct channels are created by the The contents of the message should be something similar to the current it needs to be easily serializable with simple types via JSON over the wire. The current impl of has ObjectMapper, so that may require a bit of reworking. The handler of the message will use the jobLauncher to launch the job, using the information in the How to verify it works* With the test we should be able to create the job job create helloSpringXD ""myjob"" This will not launch the job (as mentioned in the section. It would then be launched by jobLauncher :myJob where jobLauncher is a new source. Ideally would like to be able to test a data driven triggering. This would require a new file source that doesnt use the but lets a File object be the payload. file :myJob",2284
1601,DNN-8555,dnn,mohit,description,2016-03-24 17:21:34.479,Go to Host Extensions Uninstall module Re-install Dashboard module * (x) SQL Error thown StartJob Starting Installation Info Starting Installation - Info Starting Installation - Module Info Module registered successfully - Dashboard Info Component installed successfully - Module Info Starting Installation - Assembly Info Assembly registered - Info Created - Info Component installed successfully - Assembly Info Starting Installation - ResourceFile Info Expanding Resource file Info Creating backup of previous version - Info Created - Info Creating backup of previous version - Info Created - Info Creating backup of previous version - Info Created - Info Creating backup of previous version - Info Created - Info Created - Info Created - Info Created - Info Created - Info Created - Info Created - Info Creating backup of previous version - Info Created - Info Creating backup of previous version - Info Created - Info Creating backup of previous version - Info Created - Info Creating backup of previous version - Info Created - Info Creating backup of previous version - Info Created - Info Creating backup of previous version - Info Created - Info Creating backup of previous version - Info Created - Info Creating backup of previous version - Info Created - Info Creating backup of previous version - Info Created - Info Creating backup of previous version - Info Created - Info Creating backup of previous version - Info Created - Info Creating backup of previous version - Info Created - Info Resource Files created Info Component installed successfully - ResourceFile Info Starting Installation - Cleanup Info Processing Cleanup File - Info Completed Processing of Cleanup File - Info Component installed successfully - Cleanup Info Starting Installation - File Info Creating backup of previous version - Info Created - Info Component installed successfully - File Info Starting Installation - Script InfoJob Installation Failed,1939
1605,DNN-8530,dnn,KenGrierson,description,2016-04-06 21:01:23.972,"Install InBone (Issimo Digital) customer site Log in as host (append and relaunch the URL Replace the original licenses with valid test license license and email address Upgrade to latest Content Basic build Log in as host (append and relaunch the URL Go Host Host Settings Basic Settings and tick the box for Go Host Extensions Available Extensions Click to Italian and follow the screen clicking the button to walk through the installation Actual Result: When you click on the screen you'll get an error in the pop up: Error: is currently unavailable. The directory is not empty. The directory is not empty. at errorCode, String maybeFullPath) at fullPath, String userPath, Boolean recursive, Boolean at fullPath, String userPath, Boolean recursive, Boolean checkHost) at in 618 End of inner exception stack trace When you try to you will get to the license screen then, after clicking you'll get the same error as above in the UI If you a 2nd time you can make it through the process but when the page reloads a UI message appears These are all the entries in the file: - An error has occurred while loading page. Could not find file File name: at errorCode, String maybeFullPath) at path, FileMode mode, FileAccess access, Int32 rights, Boolean useRights, FileShare share, Int32 bufferSize, FileOptions options, secAttrs, String msgPath, Boolean bFromProxy, Boolean useLongPath, Boolean checkHost) at path, FileMode mode, FileAccess access, FileShare share, Int32 bufferSize, FileOptions options, String msgPath, Boolean bFromProxy) at path, FileMode mode, FileAccess access) at deleteTemp) in 494 at e) in 354 at sender, e) in 865 at source, EventArgs e) at source, EventArgs args) at Boolean - Could not find file File name: at errorCode, String maybeFullPath) at path, FileMode mode, FileAccess access, Int32 rights, Boolean useRights, FileShare share, Int32 bufferSize, FileOptions options, secAttrs, String msgPath, Boolean bFromProxy, Boolean useLongPath, Boolean checkHost) at path, FileMode mode, FileAccess access, FileShare share, Int32 bufferSize, FileOptions options, String msgPath, Boolean bFromProxy) at path, FileMode mode, FileAccess access) at deleteTemp) in 494 at e) in 354 at sender, e) in 865 at source, EventArgs e) at source, EventArgs args) at Boolean - TheDNN Could not load file or assembly 'TheDNN' or one of its dependencies. The system cannot find the file specified. File name: 'TheDNN' at name, Boolean throwOnError, Boolean ignoreCase, Boolean stackMark, IntPtr Boolean type) at name, Boolean throwOnError, Boolean ignoreCase, Boolean StackCrawlMark& stackMark, IntPtr Boolean at typeName, Boolean throwOnError, Boolean ignoreCase) at typeName, Boolean throwOnError, Boolean ignoreCase) at TypeName, String CacheKey, Boolean UseCache, Boolean IgnoreErrors) in 305 Italian Language installs w out error as do the other Language Packs",2869
1615,DNN-8382,dnn,bing.wu,description,2015-09-09 21:54:26.039,"Bing: Finally after some research, it is because the ""Template"" folder doesn't exist. Logged it as improvement for now. First of all, add following entry in host file Steps: - Use gethost to log in to this site - click on host menu Edit Page Export Page - Provide enough info and check on ""Content"". Result: Error and exceptions displayed, and actually I couldn't find the exported template file. Error: is currently unavailable. The underlying system threw an exception. The file has not been added. The underlying system threw an exception. The file has not been added. Could not find a part of the path at errorCode, String maybeFullPath) at path, FileMode mode, FileAccess access, Int32 rights, Boolean useRights, FileShare share, Int32 bufferSize, FileOptions options, secAttrs, String msgPath, Boolean bFromProxy, Boolean useLongPath, Boolean checkHost) at path, FileMode mode, FileAccess access, FileShare share, Int32 bufferSize, FileOptions options, String msgPath, Boolean bFromProxy) at path, FileMode mode, FileAccess access, FileShare share, Int32 bufferSize) at path, Int32 bufferSize) at path) at folder, String fileName, Stream content) at folder, String fileName, Stream fileContent, Boolean overwrite, Boolean String contentType, Int32 End of inner exception stack trace at folder, String fileName, Stream fileContent, Boolean overwrite, Boolean String contentType, Int32 at folder, String fileName, Stream fileContent, Boolean overwrite, Boolean String contentType) at sender, EventArgs e) End of inner exception stack trace",1543
1632,DNN-8181,dnn,thecrispy1,description,2015-12-29 18:19:10.427,"After upgrading to ( I am getting this error Error: Text HTML is currently unavailable. Object reference not set to an instance of an object. Object reference not set to an instance of an object. at ModuleId, Int32 TabId, Int32 PortalId) at e) End of inner exception stack trace An error has occurred. Object reference not set to an instance of an object. Object reference not set to an instance of an object. at ModuleId, Int32 TabId, Int32 PortalId) request) (EventArgs e) End of inner exception stack trace Error: Text HTML is currently unavailable. The UPDATE statement conflicted with the FOREIGN KEY constraint The conflict occurred in database ""dnn1"", table column 'StateID'. The statement has been terminated. The UPDATE statement conflicted with the FOREIGN KEY constraint The conflict occurred in database ""dnn1"", table column 'StateID'. The statement has been terminated. at (SqlException exception, Boolean Action`1 at stateObj, Boolean Boolean asyncClose) at runBehavior, SqlCommand cmdHandler, SqlDataReader dataStream, stateObj, Boolean& dataReady) at ds, RunBehavior runBehavior, String at cmdBehavior, RunBehavior runBehavior, Boolean returnStream, Boolean async, Int32 timeout, Task& task, Boolean asyncWrite, SqlDataReader ds) at cmdBehavior, RunBehavior runBehavior, Boolean returnStream, String method, completion, Int32 timeout, Task& task, Boolean asyncWrite) at completion, String methodName, Boolean sendToPipe, Int32 timeout, Boolean asyncWrite) sql, Object args) at CommandType type, String sql, Object args) at ItemID, String Content, String Summary, Int32 StateID, Boolean IsPublished, Int32 at htmlContent, Int32 at moduleId, Boolean isPublished, Int32 workflowId) at (EventArgs e) End of inner exception stack trace This",1751
1640,DNN-8141,dnn,george.alatrash,description,2015-12-22 00:45:21.859,"A moniker is a simple name provided for an objects that simplifies identifying specific object instances. This concept was first used in Microsoft Object Linking and Embedding (OLE), and the Component Object Model (COM). The DNN Services Framework was first introduced in DNN When creating web services with the Service Framework, it is common to require callers to provide the ModuleId and TabId as part of the web request header. This requirement complicates the programming model since service endpoints become tied to their specific location in a website. Modules are able to easily retrieve the ModuleId and TabId from the service framework as part of the initial module rendering. However, this mechanism is not available for remote callers, where the UI rendering is not directly controlled by DNN. In order to encapsulate this context data and to simplify the programming model for web services, we should introduce the concept of a moniker. The DNN service moniker will provide a mechanism for mapping a simple name to a specific module instance. This moniker can then be passed to a web service in place of the ModuleId, TabId or any other context data specific to a module. The moniker should be implemented as an additional system TabModule setting. By default, the moniker will be composed of the page name, the module definition friendly name and the TabModuleId separated by . When composing the default moniker, all spaces should be replaced with dashes. For example, if the Social Groups module was on the Community page with TabModuleId of 100, the default moniker would be The default moniker implementation provides a human friendly method to identify the page and module being addressed and also a unique element to differentiate between multiple modules on the same page. The core platform should expose a service endpoint that allows an application to query for monikers related to a specific module type that the current user has permissions to view. When calling service endpoints that need a specific module context, the moniker will be included as part of the service call. The service can then use the moniker to easily lookup any context for the module instance associated with the moniker. The purpose of this step is to help the back-end to create the DNN context for the web API request. Therefore, it is not tied to any authentication mechanism (like JWT, Basic, Forms, Injecting the moniker in the query part of the API request requires modifying all existing APIs that need to use this moniker but is not feasible and requires making changes to existing core (which we want to completely avoid). What we need is a non-invasive method. One way in which this can be implemented is by adding a new vendor specific header in the request as an alternate way to using the and that are in use today. Assume we are going to use for this purpose. An example of a full header would be: Before being able to use this feature, there is a need for an API that returns the various monikers associated with a specific module. Lets say in an EVOQ Engage site if we need to find all the monikers that use the discussions module, say discussions all tabs pages that have the discussions module in them), we will send an API request that returns all of these monikers associated with discussion modules placed on various pages. This call may return zero, one, or more monikers. There must be a consideration for user rights in every data returned from the API; no private data should be revealed to an un-authorized user.",3537
1685,DNN-7985,dnn,KenGrierson,Comment,2015-11-20 01:34:37.540,"Errors from the file: - An error has occurred while loading (0x80131904): Could not find stored procedure at exception, Boolean Action`1 at stateObj, Boolean Boolean asyncClose) at runBehavior, SqlCommand cmdHandler, SqlDataReader dataStream, stateObj, Boolean& dataReady) at ds, RunBehavior runBehavior, String at cmdBehavior, RunBehavior runBehavior, Boolean returnStream, Boolean async, Int32 timeout, Task& task, Boolean asyncWrite, SqlDataReader ds) at cmdBehavior, RunBehavior runBehavior, Boolean returnStream, String method, completion, Int32 timeout, Task& task, Boolean asyncWrite) at cmdBehavior, RunBehavior runBehavior, Boolean returnStream, String method) at behavior, String method) at behavior) at behavior) at database, String sql, Object args) at CommandType type, String sql, Object args) at isEnabled) at e) Boolean - (0x80131904): Could not find stored procedure at exception, Boolean Action`1 at stateObj, Boolean Boolean asyncClose) at runBehavior, SqlCommand cmdHandler, SqlDataReader dataStream, stateObj, Boolean& dataReady) at ds, RunBehavior runBehavior, String at cmdBehavior, RunBehavior runBehavior, Boolean returnStream, Boolean async, Int32 timeout, Task& task, Boolean asyncWrite, SqlDataReader ds) at cmdBehavior, RunBehavior runBehavior, Boolean returnStream, String method, completion, Int32 timeout, Task& task, Boolean asyncWrite) at cmdBehavior, RunBehavior runBehavior, Boolean returnStream, String method) at behavior, String method) at behavior) at behavior) at database, String sql, Object args) at CommandType type, String sql, Object args) at isEnabled) at e) Boolean",1613
1686,DNN-7985,dnn,KenGrierson,description,2015-11-20 01:37:07.789,"As host, go to Host Dashboard. It is broken Errors from the file: - An error has occurred while loading (0x80131904): Could not find stored procedure at exception, Boolean Action`1 at stateObj, Boolean Boolean asyncClose) at runBehavior, SqlCommand cmdHandler, SqlDataReader dataStream, stateObj, Boolean& dataReady) at ds, RunBehavior runBehavior, String at cmdBehavior, RunBehavior runBehavior, Boolean returnStream, Boolean async, Int32 timeout, Task& task, Boolean asyncWrite, SqlDataReader ds) at cmdBehavior, RunBehavior runBehavior, Boolean returnStream, String method, completion, Int32 timeout, Task& task, Boolean asyncWrite) at cmdBehavior, RunBehavior runBehavior, Boolean returnStream, String method) at behavior, String method) at behavior) at behavior) at database, String sql, Object args) at CommandType type, String sql, Object args) at isEnabled) at e) Boolean - (0x80131904): Could not find stored procedure at exception, Boolean Action`1 at stateObj, Boolean Boolean asyncClose) at runBehavior, SqlCommand cmdHandler, SqlDataReader dataStream, stateObj, Boolean& dataReady) at ds, RunBehavior runBehavior, String at cmdBehavior, RunBehavior runBehavior, Boolean returnStream, Boolean async, Int32 timeout, Task& task, Boolean asyncWrite, SqlDataReader ds) at cmdBehavior, RunBehavior runBehavior, Boolean returnStream, String method, completion, Int32 timeout, Task& task, Boolean asyncWrite) at cmdBehavior, RunBehavior runBehavior, Boolean returnStream, String method) at behavior, String method) at behavior) at behavior) at database, String sql, Object args) at CommandType type, String sql, Object args) at isEnabled) at e) Boolean",1657
