,id,field,from,to,fromString,toString
0,1,status,"0          To Do
2    In Progress
Name: fromString, dtype: object","0    In Progress
2          In PR
Name: toString, dtype: object","0    10000
2        3
Name: from, dtype: object","0        3
2    10006
Name: to, dtype: object"
1,2,Pull Request URL,"1     NaN
13    NaN
Name: fromString, dtype: object","1     https://github.com/spring-projects/spring-xd/p...
13    https://github.com/spring-projects/spring-xd/p...
Name: toString, dtype: object","1     NaN
13    NaN
Name: from, dtype: object","1     NaN
13    NaN
Name: to, dtype: object"
2,3,summary,"3    Can completely remove module after putting pro...
5    Can completely remove custom module after putt...
Name: fromString, dtype: object","3    Can completely remove custom module after putt...
5    Can completely remove custom module after putt...
Name: toString, dtype: object","3    NaN
5    NaN
Name: from, dtype: object","3    NaN
5    NaN
Name: to, dtype: object"
3,4,issuetype,"4     Story
17    Story
Name: fromString, dtype: object","4             Bug
17    Improvement
Name: toString, dtype: object","4     8
17    8
Name: from, dtype: object","4     1
17    4
Name: to, dtype: object"
4,5,description,"7    Custom conversion is broken.\r\r\n\r\r\nIf the...
8    Custom conversion is broken.\r\r\n\r\r\nIf the...
Name: fromString, dtype: object","7    Custom conversion is broken.\r\r\n\r\r\nIf the...
8    Custom conversion is broken.\r\r\n\r\r\nIf the...
Name: toString, dtype: object","7    NaN
8    NaN
Name: from, dtype: object","7    NaN
8    NaN
Name: to, dtype: object"
5,6,Fix Version,"10    NaN
16    NaN
Name: fromString, dtype: object","10    1.3.2
16    1.3.2
Name: toString, dtype: object","10    NaN
16    NaN
Name: from, dtype: object","10    15491
16    15491
Name: to, dtype: object"
6,7,assignee,"11    NaN
18    NaN
Name: fromString, dtype: object","11    Gary Russell
18    Gary Russell
Name: toString, dtype: object","11    NaN
18    NaN
Name: from, dtype: object","11    grussell
18    grussell
Name: to, dtype: object"
7,8,resolution,"21    NaN
27    NaN
Name: fromString, dtype: object","21    Complete
27    Complete
Name: toString, dtype: object","21    NaN
27    NaN
Name: from, dtype: object","21    8
27    8
Name: to, dtype: object"
8,9,Link,"32    NaN
43    NaN
Name: fromString, dtype: object","32    This issue is related to XD-2567
43      This issue depends on INT-3956
Name: toString, dtype: object","32    NaN
43    NaN
Name: from, dtype: object","32     XD-2567
43    INT-3956
Name: to, dtype: object"
9,10,Sprint,"35    NaN
46    NaN
Name: fromString, dtype: object","35    Sprint 68
46    Sprint 68
Name: toString, dtype: object","35    NaN
46    NaN
Name: from, dtype: object","35    108
46    108
Name: to, dtype: object"
10,11,Epic Link,"53     NaN
120    NaN
Name: fromString, dtype: object","53     XD-1607
120    XD-2053
Name: toString, dtype: object","53     NaN
120    NaN
Name: from, dtype: object","53     57271
120    59156
Name: to, dtype: object"
11,12,Rank,"55    NaN
94    NaN
Name: fromString, dtype: object","55    Ranked higher
94     Ranked lower
Name: toString, dtype: object","55    NaN
94    NaN
Name: from, dtype: object","55    NaN
94    NaN
Name: to, dtype: object"
12,13,Actual Story Points,"60    NaN
87    NaN
Name: fromString, dtype: object","60    5
87    3
Name: toString, dtype: object","60    NaN
87    NaN
Name: from, dtype: object","60    NaN
87    NaN
Name: to, dtype: object"
13,14,Acceptance Criteria,"89     User provides a jar file exposing a custom bea...
592                                                  NaN
Name: fromString, dtype: object","89     User provides a jar file exposing a custom bea...
592    Update documentation the difference between th...
Name: toString, dtype: object","89     NaN
592    NaN
Name: from, dtype: object","89     NaN
592    NaN
Name: to, dtype: object"
14,15,labels,"169     NaN
3011    NaN
Name: fromString, dtype: object","169              PullRequest
3011    waiting-for-reporter
Name: toString, dtype: object","169     NaN
3011    NaN
Name: from, dtype: object","169     NaN
3011    NaN
Name: to, dtype: object"
15,16,Attachment,"181    Screenshot 2015-12-14 22.02.13.png
182                                   NaN
Name: fromString, dtype: object","181                                   NaN
182    Screenshot 2015-12-14 22.02.13.png
Name: toString, dtype: object","181    23243
182      NaN
Name: from, dtype: object","181      NaN
182    23245
Name: to, dtype: object"
16,17,Story Points,"250    233
262    111
Name: fromString, dtype: object","250    5
262    1
Name: toString, dtype: object","250    NaN
262    NaN
Name: from, dtype: object","250    NaN
262    NaN
Name: to, dtype: object"
17,18,priority,"263    Major
799    Minor
Name: fromString, dtype: object","263    Minor
799    Major
Name: toString, dtype: object","263    3
799    4
Name: from, dtype: object","263    4
799    3
Name: to, dtype: object"
18,19,RemoteIssueLink,"439     NaN
1056    NaN
Name: fromString, dtype: object","439         This issue links to ""GitHub issue (Web Link)""
1056    This issue links to ""SpringXD-issue in mysql a...
Name: toString, dtype: object","439     NaN
1056    NaN
Name: from, dtype: object","439     11103
1056    11006
Name: to, dtype: object"
19,20,Parent,"585    NaN
756    NaN
Name: fromString, dtype: object","585    XD-3624
756    XD-3624
Name: toString, dtype: object","585    NaN
756    NaN
Name: from, dtype: object","585    66360
756    66360
Name: to, dtype: object"
20,21,Component,"851     UI
852    NaN
Name: fromString, dtype: object","851     NaN
852    REST
Name: toString, dtype: object","851    12784
852      NaN
Name: from, dtype: object","851      NaN
852    12785
Name: to, dtype: object"
21,22,Version,"882     NaN
3352    2.x
Name: fromString, dtype: object","882     1.3 M1
3352       NaN
Name: toString, dtype: object","882       NaN
3352    14632
Name: from, dtype: object","882     15099
3352      NaN
Name: to, dtype: object"
22,23,Comment,"1113    NaN
5394    NaN
Name: fromString, dtype: object","1113    NaN
5394    NaN
Name: toString, dtype: object","1113                                 Moved to GH issues. 
5394    Actually only the projects renamed. Class and ...
Name: from, dtype: object","1113    NaN
5394    NaN
Name: to, dtype: object"
23,24,Epic Child,"1335    NaN
1336    NaN
Name: fromString, dtype: object","1335    XD-3661
1336    XD-3675
Name: toString, dtype: object","1335    NaN
1336    NaN
Name: from, dtype: object","1335    66524
1336    66559
Name: to, dtype: object"
24,25,Epic Name,"2537      Job Composition
2551    Job Orchestration
Name: fromString, dtype: object","2537    Job Orchestration
2551         Composed Job
Name: toString, dtype: object","2537    NaN
2551    NaN
Name: from, dtype: object","2537    NaN
2551    NaN
Name: to, dtype: object"
25,26,Parent Issue,"5337    XD-3226
5342    XD-3226
Name: fromString, dtype: object","5337    XD-3260
5342    XD-3260
Name: toString, dtype: object","5337    XD-3226
5342    XD-3226
Name: from, dtype: object","5337    XD-3260
5342    XD-3260
Name: to, dtype: object"
26,27,Epic Colour,"5467    ghx-label-3
5948            NaN
Name: fromString, dtype: object","5467    ghx-label-6
5948    ghx-label-8
Name: toString, dtype: object","5467    NaN
5948    NaN
Name: from, dtype: object","5467    NaN
5948    NaN
Name: to, dtype: object"
27,28,reporter,"7817     David Turanski
28219      Eric Bottard
Name: fromString, dtype: object","7817     Sabby Anandan
28219      Luke Taylor
Name: toString, dtype: object","7817        dturanski
28219    eric.bottard
Name: from, dtype: object","7817     sabby
28219     luke
Name: to, dtype: object"
28,29,Reference URL,"9923    http://docs.spring.io/spring-integration/refer...
Name: fromString, dtype: object","9923    NaN
Name: toString, dtype: object","9923    NaN
Name: from, dtype: object","9923    NaN
Name: to, dtype: object"
29,30,environment,"9924                                  spring-XD
26149    windows, jdk1.7 version 1.0.0.M1 build
Name: fromString, dtype: object","9924     NaN
26149    NaN
Name: toString, dtype: object","9924     NaN
26149    NaN
Name: from, dtype: object","9924     NaN
26149    NaN
Name: to, dtype: object"
30,31,Workflow,"9929     classic default workflow
12108                SPR Workflow
Name: fromString, dtype: object","9929     XD Scrum Workflow
12108    XD Scrum Workflow
Name: toString, dtype: object","9929     109243
12108    108394
Name: from, dtype: object","9929     109246
12108    108395
Name: to, dtype: object"
31,32,Key,"9931      INT-3681
12109    SPR-12656
Name: fromString, dtype: object","9931     XD-2829
12109    XD-2634
Name: toString, dtype: object","9931     NaN
12109    NaN
Name: from, dtype: object","9931     NaN
12109    NaN
Name: to, dtype: object"
32,33,project,"9932     Spring Integration
12110      Spring Framework
Name: fromString, dtype: object","9932     Spring XD
12110    Spring XD
Name: toString, dtype: object","9932     10121
12110    10000
Name: from, dtype: object","9932     11401
12110    11401
Name: to, dtype: object"
33,34,Out of Scope,"11433    Old wiki pages should be changed to explain wh...
16060                                                  NaN
Name: fromString, dtype: object","11433    * This change is applicable only for > 1.1.x b...
16060               Implementing a configuration change UI
Name: toString, dtype: object","11433    NaN
16060    NaN
Name: from, dtype: object","11433    NaN
16060    NaN
Name: to, dtype: object"
34,35,Epic Status,"11878      NaN
25768    To Do
Name: fromString, dtype: object","11878    To Do
25768     Done
Name: toString, dtype: object","11878      NaN
25768    10300
Name: from, dtype: object","11878    10300
25768    10302
Name: to, dtype: object"
35,36,Time Spent,"13019    NaN
13155    NaN
Name: fromString, dtype: object","13019    2
13155    1
Name: toString, dtype: object","13019    NaN
13155    NaN
Name: from, dtype: object","13019    NaN
13155    NaN
Name: to, dtype: object"
36,37,WorklogId,"14261    30412
31861    30411
Name: fromString, dtype: object","14261    NaN
31861    NaN
Name: toString, dtype: object","14261    30412
31861    30411
Name: from, dtype: object","14261    NaN
31861    NaN
Name: to, dtype: object"
37,38,timespent,"14262    NaN
31862    NaN
Name: fromString, dtype: object","14262       60
31862    10800
Name: toString, dtype: object","14262    NaN
31862    NaN
Name: from, dtype: object","14262       60
31862    10800
Name: to, dtype: object"
38,39,timeestimate,"14263    NaN
31863    NaN
Name: fromString, dtype: object","14263    0
31863    0
Name: toString, dtype: object","14263    NaN
31863    NaN
Name: from, dtype: object","14263    0
31863    0
Name: to, dtype: object"
39,40,Project,"17721          Spring Batch
20479    Spring Integration
Name: fromString, dtype: object","17721    Spring XD
20479    Spring XD
Name: toString, dtype: object","17721    10090
20479    10121
Name: from, dtype: object","17721    11401
20479    11401
Name: to, dtype: object"
40,41,Severity,"43226    NaN
43256    NaN
Name: fromString, dtype: object","43226    Major
43256    Minor
Name: toString, dtype: object","43226    NaN
43256    NaN
Name: from, dtype: object","43226    10005
43256    10009
Name: to, dtype: object"
41,42,Triage,"43238    NaN
43321    NaN
Name: fromString, dtype: object","43238    New
43321    New
Name: toString, dtype: object","43238    NaN
43321    NaN
Name: from, dtype: object","43238    10302
43321    10302
Name: to, dtype: object"
42,43,Fixed in Build,"43241    NaN
43282    NaN
Name: fromString, dtype: object","43241     7.1.2.208
43282    #7.1.2.261
Name: toString, dtype: object","43241    NaN
43282    NaN
Name: from, dtype: object","43241    NaN
43282    NaN
Name: to, dtype: object"
43,44,Requires More Info,"43373    NaN
43519    NaN
Name: fromString, dtype: object","43373    Requires More Info
43519    Requires More Info
Name: toString, dtype: object","43373    NaN
43519    NaN
Name: from, dtype: object","43373    10305
43519    10305
Name: to, dtype: object"
44,45,Documentation Required,"43376     No
43836    Yes
Name: fromString, dtype: object","43376    Completed
43836    Completed
Name: toString, dtype: object","43376    10200
43836    10205
Name: from, dtype: object","43376    10207
43836    10207
Name: to, dtype: object"
45,46,ClosedOn,"43440    NaN
43490    NaN
Name: fromString, dtype: object","43440    28/Jan/14 8:25 AM
43490    03/Feb/14 1:19 PM
Name: toString, dtype: object","43440    NaN
43490    NaN
Name: from, dtype: object","43440    2014-01-28T08:25-0800
43490    2014-02-03T13:19-0800
Name: to, dtype: object"
46,47,Includes Code Fix,"43718    NaN
43804    NaN
Name: fromString, dtype: object","43718    Yes
43804    Yes
Name: toString, dtype: object","43718    NaN
43804    NaN
Name: from, dtype: object","43718    10007
43804    10007
Name: to, dtype: object"
47,48,Trouble Ticket,"43856    NaN
44132    NaN
Name: fromString, dtype: object","43856    347-1A70169E-0363 
44132     3A0-1A00E602-031C
Name: toString, dtype: object","43856    NaN
44132    NaN
Name: from, dtype: object","43856    NaN
44132    NaN
Name: to, dtype: object"
48,49,Story Size,"44495    NaN
49066    NaN
Name: fromString, dtype: object","44495    S
49066    L
Name: toString, dtype: object","44495    NaN
49066    NaN
Name: from, dtype: object","44495    10802
49066    10804
Name: to, dtype: object"
49,50,security,"45191           NaN
45201    Corp staff
Name: fromString, dtype: object","45191    Corp staff
45201           NaN
Name: toString, dtype: object","45191      NaN
45201    10000
Name: from, dtype: object","45191    10000
45201      NaN
Name: to, dtype: object"
50,51,Reported in Build #,"48093    NaN
50381     95
Name: fromString, dtype: object","48093    7.2.0.307
50381     8.0.1.95
Name: toString, dtype: object","48093    NaN
50381    NaN
Name: from, dtype: object","48093    NaN
50381    NaN
Name: to, dtype: object"
51,52,Injected,"48094    NaN
62430    NaN
Name: fromString, dtype: object","48094    Injected
62430    Injected
Name: toString, dtype: object","48094    NaN
62430    NaN
Name: from, dtype: object","48094    [10700]
62430    [10700]
Name: to, dtype: object"
52,53,Dev Owner,"49411    NaN
49473    NaN
Name: fromString, dtype: object","49411         Ben Zhong
49473    amarjit dhunna
Name: toString, dtype: object","49411    NaN
49473    NaN
Name: from, dtype: object","49411           zyhfish
49473    amarjit.dhunna
Name: to, dtype: object"
53,54,timeoriginalestimate,"49418    NaN
49611    NaN
Name: fromString, dtype: object","49418     900
49611    1200
Name: toString, dtype: object","49418    NaN
49611    NaN
Name: from, dtype: object","49418     900
49611    1200
Name: to, dtype: object"
54,55,QA Owner,"49420    NaN
49515    NaN
Name: fromString, dtype: object","49420    Ken Grierson
49515    Ken Grierson
Name: toString, dtype: object","49420    NaN
49515    NaN
Name: from, dtype: object","49420    kengrierson
49515    kengrierson
Name: to, dtype: object"
55,56,QA Story Points,"49493    NaN
49517    NaN
Name: fromString, dtype: object","49493      2
49517    1/2
Name: toString, dtype: object","49493    NaN
49517    NaN
Name: from, dtype: object","49493    11103
49517    11101
Name: to, dtype: object"
56,57,QA Test Plan,"50166    NaN
50255    NaN
Name: fromString, dtype: object","50166    Setup a 4 head web farm \r\r\n\r\r\n*Ensure al...
50255    Validated with build 105, and works fine:\r\r\...
Name: toString, dtype: object","50166    NaN
50255    NaN
Name: from, dtype: object","50166    NaN
50255    NaN
Name: to, dtype: object"
57,58,WorklogTimeSpent,"64065     4 hours, 49 minutes
117558                  1 day
Name: fromString, dtype: object","64065     NaN
117558    NaN
Name: toString, dtype: object","64065     17340
117558    28800
Name: from, dtype: object","64065     NaN
117558    NaN
Name: to, dtype: object"
58,59,Flagged,"96017    NaN
97720    NaN
Name: fromString, dtype: object","96017    Impediment
97720    Impediment
Name: toString, dtype: object","96017    NaN
97720    NaN
Name: from, dtype: object","96017    [10000]
97720    [10000]
Name: to, dtype: object"
59,60,Release Notes,"102718    Fix_711
Name: fromString, dtype: object","102718    NaN
Name: toString, dtype: object","102718    NaN
Name: from, dtype: object","102718    NaN
Name: to, dtype: object"
60,61,Planned Start,"102831    NaN
102836    NaN
Name: fromString, dtype: object","102831    2016-03-24 (initialized without having effort ...
102836    2015-06-10 (initialized without having effort ...
Name: toString, dtype: object","102831    NaN
102836    NaN
Name: from, dtype: object","102831    initialized without having effort estimation
102836    initialized without having effort estimation
Name: to, dtype: object"
61,62,Planned End,"102832    NaN
102837    NaN
Name: fromString, dtype: object","102832    2016-03-24 (initialized without having effort ...
102837    2015-06-10 (initialized without having effort ...
Name: toString, dtype: object","102832    NaN
102837    NaN
Name: from, dtype: object","102832    initialized without having effort estimation
102837    initialized without having effort estimation
Name: to, dtype: object"
62,63,Epic/Theme,"102833    AptanaStudio
104067             NaN
Name: fromString, dtype: object","102833    APSTUD-8462 AptanaStudio
104067                 APSTUD-7571
Name: toString, dtype: object","102833    NaN
104067    NaN
Name: from, dtype: object","102833    NaN
104067    NaN
Name: to, dtype: object"
63,64,Reviewer,"102889    NaN
102977    NaN
Name: fromString, dtype: object","102889    Praveen Innamuri
102977      Chris Williams
Name: toString, dtype: object","102889    NaN
102977    NaN
Name: from, dtype: object","102889    pinnamuri
102977    cwilliams
Name: to, dtype: object"
64,65,resolutiondate,"103123    2014-01-06 03:15:35.0
103143    2014-01-09 01:26:54.0
Name: fromString, dtype: object","103123    2014-01-06 03:15:35.174
103143    2014-01-09 01:26:54.855
Name: toString, dtype: object","103123    NaN
103143    NaN
Name: from, dtype: object","103123    NaN
103143    NaN
Name: to, dtype: object"
65,66,Baseline Start,"103124    NaN
103175    NaN
Name: fromString, dtype: object","103124    2013-12-16 (set baseline based of initial work...
103175    2013-12-11 (set baseline based of initial work...
Name: toString, dtype: object","103124    NaN
103175    NaN
Name: from, dtype: object","103124    set baseline based of initial work logging
103175    set baseline based of initial work logging
Name: to, dtype: object"
66,67,Baseline End,"103125    NaN
103176    NaN
Name: fromString, dtype: object","103125    2014-01-03 (set baseline based of initial work...
103176    2013-12-11 (set baseline based of initial work...
Name: toString, dtype: object","103125    NaN
103176    NaN
Name: from, dtype: object","103125    set baseline based of initial work logging
103176    set baseline based of initial work logging
Name: to, dtype: object"
67,68,Rank (Obsolete),"103256    9680000000
103278     250000000
Name: fromString, dtype: object","103256    NaN
103278    NaN
Name: toString, dtype: object","103256    NaN
103278    NaN
Name: from, dtype: object","103256    NaN
103278    NaN
Name: to, dtype: object"
68,69,Shepherd,"121826    NaN
121852    NaN
Name: fromString, dtype: object","121826                  Jie Yu
121852    Joris Van Remoortere
Name: toString, dtype: object","121826    NaN
121852    NaN
Name: from, dtype: object","121826             jieyu
121852    jvanremoortere
Name: to, dtype: object"
69,70,Target Version/s,"124649    0.27.1
124719       NaN
Name: fromString, dtype: object","124649    0.28.0
124719    0.28.0
Name: toString, dtype: object","124649    [12334748]
124719           NaN
Name: from, dtype: object","124649    [12334661]
124719    [12334661]
Name: to, dtype: object"
