,key,project,author,field,created,text,textLength
0,XD-3750,xd,aliiqbal,summary,2016-03-13 10:24:15.636,Cant completely remove custom module after putting properties in,64
1,XD-3749,xd,grussell,description,2016-02-26 16:01:28.028,Custom conversion is broken. If the custom does not match any of those in then the channel configuration fails with The code needs to consult custom converters to see what (s) they support - and the output Java type. See,220
2,XD-3748,xd,dgarcia,description,2016-02-24 10:51:45.747,"If I try to use when developing a Spring XD module, it fails when try to export the JMX bean. I've seen that the naming strategy used is The stackTrace:",152
3,XD-3747,xd,grussell,summary,2016-02-23 18:31:47.958,Rabbit Bus: Expose on,21
4,XD-3745,xd,mark.pollack,summary,2016-02-23 18:18:32.605,Update Spring-AMQP to RabbitMQ Client to,40
5,XD-3744,xd,grussell,description,2016-02-22 15:29:10.959,"Related to XD-2567 which fixed this problem, but only in the bus. WARN - skipping header since it is not of expected type , it is",129
6,XD-3742,xd,mark.pollack,summary,2016-02-23 18:21:39.833,Enable in line SSL properties as an alternative to external properties files,76
7,XD-3739,xd,david_geary,description,2016-02-05 16:04:05.884,"All modules that allow groovy (filter, script, transform, router, tcpclient) allow automatic refresh of the script when it changes. In the XD documentation it is stated that this refresh occurs every minute eg for filter at ""The script is checked for updates every 60 seconds, so it may be replaced in a running system. "" This set up can be seen in the spring xml for the modules - eg (again for filter) However from the spring integration documentation it specifies that the parameter is actually in milliseconds - ie the above XD configuration would recheck the script every 60 milliseconds which may be a performance concern as it will be checking the lastmodified time of the script file. Ideally this parameter would be configurable - in our case we would usually eliminate the refresh check altogether (set to -1) as our scripts will not change (or if they did a redeploy of the module would pick it up)",909
8,XD-3738,xd,dturanski,Acceptance Criteria,2016-02-03 09:41:14.715,User provides a jar file exposing a custom bean of type under the base package and installs it in xd lib. The XD runtime uses this bean during initialization to replace any property value containing the prefix from any properties source with the decrypted value.,262
9,XD-3738,xd,mark.pollack,summary,2016-02-23 18:20:24.203,Encrypt secret information in XD configuration files,52
10,XD-3736,xd,grussell,description,2016-02-01 19:47:48.177,PubSub consumers can support concurrency since the threads are competing consumers on the queue.,96
11,XD-3719,xd,sabby,summary,2016-01-31 01:31:02.294,Spring flo issue with unexpected char,37
12,XD-3715,xd,sabby,description,2015-11-30 16:32:41.018,"As a developer, I'd like to move k8s SPI to it's own repo.",58
13,XD-3715,xd,sabby,summary,2015-11-30 16:49:14.666,Move k8s SPI to a separate repo,31
14,XD-3711,xd,mgervais,description,2015-11-25 08:55:25.997,"XD container loose connection with Zookeeper. I'm in a distributed environnement: - 3 XD container nodes - 1 XD admin - 3 Zookeeper - 3 RabbitMQ - 3 Redis Sentinel Logs: If a module is deployed on the node which has lost the connection, it's not redeployed on one of the two others. The only difference between node, is that the node in error has less memory. When this occurs, node doesn't appear anymore on the admin ui. And deployed streams do not appear as incomplete, but they should if a node has disappear and deployment property is set to the number of nodes. Thanks. Mickal",582
15,XD-3710,xd,nachiketbondale,description,2015-11-26 09:14:44.313,"The simple word count map reduce job using spring xd is failing with inline error message. 1. Created a jar for simple word count map reduce job. 2. Created jar using information given in ( ) 3. Once the final jar was ready, uploaded using 4. After that created and deployed job using 5. Finally launched using which failed with inline error.",342
16,XD-3709,xd,grussell,description,2015-11-21 17:05:48.506,"For some reason, the Integration is not preventing the standard context from exporting the . This should be suppressed (when an IMBE is present) because it's annotated . Causes . Workaround in the stack overflow answer. Could be an SI issue, but investigation needed. However, we should probably include the stream job name in all MBeans for the stream (as is done for the integration exporter).",395
17,XD-3706,xd,sabby,summary,2015-11-13 15:29:04.962,Counter sink does not accept SpEL expressions,45
18,XD-3703,xd,fmarchand,description,2015-11-12 14:39:46.490,Add SSL and attachments to Mail sink module. see XD-2076 & XD-2498.,67
19,XD-3700,xd,dokeeffe,description,2015-11-11 13:22:17.277,"In our system we have built quite a few custom modules. It is currently possible for the end user to mess up the configuration of these custom modules when creating multiple streams. They can create conflicting configuration in multiple streams. The conflicting config is nothing to do with spring-xd itself, it is related to our data flow and business process. It would be nice to have some sort of that I could implement and write my custom validation code. If this decides that the stream definition is not valid (according to my rules) then it could stop the deployment of a stream. The validator would need to be aware of the other streams somehow.",653
20,XD-3698,xd,sabby,summary,2015-11-10 19:30:06.033,Execution list page includes child jobs in pagination scope,59
21,XD-3695,xd,thomas.risberg,summary,2015-11-12 20:07:00.532,Upgrade to SHDP,15
22,XD-3695,xd,thomas.risberg,description,2015-11-12 20:08:55.948,"As a developer, I'd like to upgrade to GA release, so I can leverage the latest improvements without breaking backwards compatibility. SHDP uses Boot and HDP and CDH versions that drop older Hive support. To avoid breaking changes we should instead use SHDP that has backported any improvements that we need as well as move Spring and Hadoop versions to more recent ones.",371
23,XD-3691,xd,hillert,summary,2015-11-16 19:33:36.927,Ensure Job definitions are escaped in UI,40
24,XD-3686,xd,jvalkeal,description,2015-11-04 13:46:46.589,I got below error when uting modules on yarn and it was written in appmaster stderr output. `LoggingEvent` is found from both and I suppose it depends on which one is used first to load this class. Here's what we have in admin and appmaster jar is my local new sub-project to run tests on a hadoop minicluster): Error went away when I removed from maven deps for yarn appmaster jar. I suppose we have same issue with admin server.,430
25,XD-3680,xd,sabby,summary,2015-11-06 17:23:55.411,"Add consistent support for ""undeployed"" state across the deployers",66
26,XD-3680,xd,sabby,description,2015-11-06 17:26:34.204,"As a developer, I'd like to add support for status consistently across all the deployers, so I can present the correct status instead of the current . This is applicable for existing streams without any deployment context associated with it.",241
27,XD-3678,xd,sabby,description,2015-11-02 17:22:08.654,"As a developer, I'd like to add status for CF SPI, so I can represent the correct status instead of the current state.",118
28,XD-3673,xd,sabby,Acceptance Criteria,2015-11-02 17:46:09.233,"Update documentation the difference between the message bus here, ie that on Redis you should only deploy one instance consuming from a tap or topic.",149
29,XD-3672,xd,sabby,description,2015-11-02 17:34:45.686,"As a developer, I'd like to submit a PR for existing work on Mesos SPI.",71
30,XD-3672,xd,sabby,summary,2015-11-30 15:09:35.916,Move Mesos SPI to a separate repo,33
31,XD-3671,xd,sabby,Acceptance Criteria,2015-11-02 02:54:27.426,SPI level design specs are documented for design review,55
32,XD-3671,xd,sabby,summary,2015-11-02 02:55:13.783,Spike: Explore options to scale modules from shell,50
33,XD-3661,xd,sabby,summary,2015-10-30 23:23:18.152,Upgrade to Lattice release,26
34,XD-3660,xd,sabby,summary,2015-11-02 17:09:25.633,Create admin artifact and CI build for YARN,43
35,XD-3660,xd,sabby,description,2015-11-02 17:10:23.191,"As a developer, I'd like to create separate repo for YARN SPI, so I don't have to bundle all SPI variants under one admin project.",130
36,XD-3660,xd,sabby,Acceptance Criteria,2015-11-02 17:12:21.859,POM for each hadoop distro is available * New CI build is added,63
37,XD-3659,xd,sabby,summary,2015-11-02 15:47:52.613,Create admin artifact for each Hadoop distro,44
38,XD-3659,xd,sabby,description,2015-11-02 15:48:16.947,"As a developer, I'd like to split artifact packaged with hadoop distro specific libraries, so I could avoid adding all variations of hadoop libraries under one project.",168
39,XD-3656,xd,sabby,summary,2015-11-02 17:20:03.958,Add 'undeployed' status for YARN SPI,36
40,XD-3656,xd,sabby,description,2015-11-02 17:20:20.774,"As a developer, I'd like to add status for YARN SPI, so I can represent the correct status instead of the current state.",120
41,XD-3650,xd,mgervais,description,2015-10-28 09:10:48.065,"Hi, I'm trying to create a composed module with two transform processors: After I use this module into my stream: But when I'm trying to deploy I get this error: After some investgiation, it appears that module properties for both transform module seems to be merged so I've this in the instance of : : correspond with properties : correspond with properties : correspond with properties So the method cannot succeed. I'm using Spring XD in a distributed environment with Zookeeper, RabbitMq & Redis for analytics. Is there a way to deploy this king of composite module? Thanks for any help Mickal is this rlated to ?",617
42,XD-3649,xd,sabby,Acceptance Criteria,2015-10-28 16:59:18.516,Utility function exist and overridable for custom modules Implementation details are documented with an example,111
43,XD-3648,xd,hillert,summary,2015-10-27 21:03:30.488,Job Executions without Deployed Job (deleted) shall not be restartable,70
44,XD-3646,xd,david_geary,description,2015-10-27 17:56:36.964,"This would allow multiple individual sink modules to be combined via the shell DSL so that each message sent to the composite sink module will be sent to each of the individual sink modules in turn. Internally this would probably use a recipient list router to send to each individual sink. Module options for each individual sink would be combined to create the overall options for the composite sink module in a similar way to existing composite modules. This would allow construction of streams with less communication with the message bus for example as an alternative to using a named topic in the message bus. Using this in conjunction with sinks built using existing composite module functionality (as a combination of processors and a sink) would allow more sophisticated combinations to be constructed and deployed as a single module (with no message bus One particular application of this would be with tap and counter functionality. If multiple fields in a message need counted this currently needs to be done as separate streams tapping the original with the overhead of the tapped message being read from the message bus multiple times potentially on different nodes, this enhancement would allow all the counters to be combined to make a more cohesive composite counter module so that the tapped message would only need to be read once.",1350
45,XD-3643,xd,david_geary,description,2015-10-26 17:41:15.949,Currently its possible to do this via but this involves an additional hop to the message bus for the pipe between the source and router. It would be better if this was supported directly with the existing named channel syntax to remove this pipe ie This would be useful as a possible solution in the scenario described in XD-3613 as an alternative to using topics on the Redis message bus which dont support having multiple instances of the same consumer.,455
46,XD-3643,xd,david_geary,summary,2015-10-26 17:41:55.629,Allow sending to multiple named channels at once,48
47,XD-3642,xd,hlagos,description,2015-10-25 18:51:05.678,"Hey Guys, We are facing an annoying problem and I can't figure out how solve it. For some reason when we run a step that takes long time (4 hours or more), spring XD is unable to save the metadata and throws the following error. ERROR - Encountered an error uting step ingest-logs in job commit failed; nested exception is commit failed Method) Source) Method) Caused by: commit failed at 97 common frames omitted Caused by: unable to commit against JDBC connection 99 common frames omitted Caused by: Communications link failure during commit(). Transaction resolution unknown. at Method) at 100 common frames omitted ERROR - Encountered an error saving batch meta data for step ingest-logs in job This job is now in an unknown state and should not be restarted. Attempt to update step ution id 8 with wrong version (1), where current version is 2 at We are using a MySQL database with the following spring: datasource: url: username: admin password: admin select 1 testOnBorrow: true If you guys know this issue or have some ideas how solve, please let me know. Thanks in advance. Hctor",1088
48,XD-3635,xd,sabby,summary,2015-10-21 21:42:36.387,Resolve remaining gaps with CI,30
49,XD-3635,xd,sabby,Acceptance Criteria,2015-10-21 21:44:25.625,Guide to repeat it for other SPIs documented,44
50,XD-3630,xd,sabby,summary,2015-11-02 15:43:50.622,Launch GF cache server for integration tests,44
51,XD-3629,xd,sabby,summary,2015-10-21 14:17:08.005,Turning on HA via Ambari plugin requires custom configuration,61
52,XD-3624,xd,sabby,summary,2015-10-19 16:05:34.116,Add support to build Admin with individual SPI deployers,56
53,XD-3624,xd,sabby,description,2015-10-19 16:15:09.905,"As a developer, I'd like to break the build lifecycle to bundle SPI deployers individually, so I don't have to build with all the deployer variations as one whole thing.",169
54,XD-3624,xd,sabby,Acceptance Criteria,2015-10-19 16:15:37.061,project build includes option to build by SPI deployer,54
55,XD-3623,xd,hlagos,summary,2015-10-19 02:06:23.754,Job in unknown state after run long sqooptasklet,48
56,XD-3621,xd,mbogoevici,summary,2015-11-06 17:14:24.799,Add support for custom headers with the Kafka bus,49
57,XD-3620,xd,thomas.risberg,description,2015-10-16 13:36:51.729,We are seeing JDBC connection pool errors when running 'jdbchdfs' jobs and 'jdbc' streams. The exception is: A workaround is to specify when creating the job. This has also been reported on SO (,194
58,XD-3619,xd,sabby,Acceptance Criteria,2015-10-14 23:27:37.353,"how do we operationalize data flow on YARN? (scripts?) what's the security story? * HA, FT and Scale - are we feature parity with XD?",133
59,XD-3616,xd,sabby,Comment,2015-11-02 16:38:55.197,Moved to GH issues.,19
60,XD-3613,xd,david_geary,description,2015-10-13 15:31:33.722,If I deploy more than one instance of a module (eg using 1 or 0) that consumes from a tap or topic then I get duplicate messages if Im using Redis as the message bus. It looks like this is the same issue as XD-3100 but the fix for that only fixed Rabbit as the message bus. This is easy to reproduce on a 2 container cluster using a Redis Message Bus: Create and deploy streams as follows: On container 1 send a message: Container 1 logs are then: and container 2: Ie the tapped message is duplicated (picked up by both tap module instances) Similarly for topics create and deploy these streams: On container 1 send a message: Container 1 logs are then: and container 2: Ie the topic message is picked up by each instance of the module in each stream. In this case I would expect each stream to pick up the message once ie I would get a single output for each stream test message 002 TOPIC CONSUMER 2 once (on either container) test message 002 TOPIC CONSUMER 1 once (on either container),988
61,XD-3613,xd,sabby,summary,2015-11-02 16:53:45.567,Multiple module instances consuming from taps or topics get duplicate messages on redis Message Bus,99
62,XD-3612,xd,david_geary,description,2015-10-13 10:38:54.044,"I have a distributed XD Cluster with one admin and two containers using Redis as the message bus. In certain cases I want to use direct binding to remove communication with the message bus and deploy all modules to all containers with the aim of improving performance. Ive found that even when using direct binding, XD still communicates with Redis when it shouldnt need to. This could have an impact on performance. This is easily reproducible in our 2 container cluster as follows: Use the redis-cli monitor command to monitor Redis. Create and deploy a simple stream with direct binding: As expected both modules get deployed to both nodes. Testing shows messages sent to the http endpoint of one container always come out in the log for that container implying direct binding is in play as expected. However once the streams are deployed the Redis monitor starts showing a Redis queue being accessed from both XD conatiners: This shouldnt need to happen in direct binding. These messages stop once the stream is undeployed.",1027
63,XD-3610,xd,mbogoevici,description,2015-10-13 01:09:39.475,"The Kafka sink should not make use of the message headers sent by the Kafka receivers in the Kafka bus. Similarly, the headers received from the Kafka source should not be propagated when sending to the Kakfa bus.",213
64,XD-3604,xd,sroy,description,2015-10-08 21:37:12.050,"In my test case, I have security enabled. I tested this on distributed mode. I have a few Streams deployed. Issue from UI jps lists the process id of 2 should be none listed) I have noticed different test results every time, like at times 2 out of 3 containers are terminated and at times 1 out of 3 are terminated. Please let me know if you have issues replicating this.",371
65,XD-3602,xd,sabby,summary,2015-10-07 20:01:08.938,Port Log as sink,16
66,XD-3601,xd,sabby,summary,2015-10-19 14:45:07.701,JMX MBean name clash when using labels with deployment,54
67,XD-3599,xd,sabby,Acceptance Criteria,2015-10-07 16:32:26.563,maven repo includes module with respective details,50
68,XD-3596,xd,sabby,summary,2015-10-06 15:02:07.648,Prevent streams with duplicate name,35
69,XD-3589,xd,grenfro,summary,2015-10-05 17:41:28.699,Create Composed Job Module,26
70,XD-3584,xd,sroy,description,2015-10-05 15:39:58.557,"When the following format is specified - There is no root-path (' ') following the scheme. That makes the Hadoop job launcher interpret what follows as a host name and will look for on the host 'hadoop'. This results in hadoop"". This format works for module upload though. The module upload relies on resource location resolution from Spring Framework which is more lenient . The MapReduce job submission uses code from the Apache Hadoop project and uses a more stringent resolution. This results in ambiguity and requires the root path to be specified.",553
71,XD-3583,xd,sabby,description,2015-10-05 16:41:24.948,"As an user, I'd like to deploy on Mesos.",40
72,XD-3582,xd,sabby,description,2015-10-05 22:54:35.215,"As an user, I'd like to have tab completion on shell, so I can interact with the modules and its available options.",115
73,XD-3581,xd,sabby,description,2015-10-05 16:10:44.852,"As a user, I'd like to have the flexibility of property access through SpEL, so I can build stream definitions with inline property overrides.",142
