antescedent,consequent
['No_agreeableness'],['time_low']
['Yes_agreeableness'],['time_high']
['Yes_conscientiousness'],['time_low']
['Yes_conscientiousness'],['time_high']
['estimation_high'],['Yes_extraversion']
['estimation_high'],['Yes_openness']
['Yes_extraversion'],['time_low']
['Yes_extraversion'],['estimation_high']
['Yes_extraversion'],['state_todo']
['Yes_extraversion'],['estimation_high']
['No_neuroticism'],['state_todo']
['No_neuroticism'],['time_low']
['No_neuroticism'],['estimation_high']
['Yes_neuroticism'],['state_done']
['Yes_neuroticism'],['estimation_high']
['Yes_openness'],['time_low']
['Yes_openness'],['estimation_high']
['No_openness'],['state_todo']
['No_openness'],['estimation_high']
['priority_high'],['Yes_agreeableness']
['priority_high'],['Yes_conscientiousness']
['state_done'],['Yes_extraversion']
['state_todo'],['Yes_extraversion']
['state_todo'],['No_neuroticism']
['state_done'],['Yes_neuroticism']
['state_done'],['Yes_openness']
['state_todo'],['No_openness']
['time_low'],['No_agreeableness']
['time_high'],['Yes_agreeableness']
['time_low'],['Yes_extraversion']
['time_low'],['No_neuroticism']
['time_low'],['Yes_conscientiousness']
['time_high'],['Yes_conscientiousness']
['time_low'],['Yes_openness']
