,key,project,author,field,created,text,textLength
261,XD-3244,xd,dturanski,summary,2015-07-10 09:35:39.172,Copy,4
348,XD-3063,xd,grussell,Comment,2015-05-18 08:12:06.730,See utions,10
356,XD-3015,xd,dturanski,summary,2015-04-30 07:03:44.485,fails on,8
495,XD-2696,xd,mminella,Comment,2015-02-06 10:35:24.937,PR:,3
613,XD-2368,xd,sabby,Acceptance Criteria,2014-11-20 15:12:02.318,POC * Roadmap,13
621,XD-2356,xd,sabby,summary,2014-12-08 09:38:58.163,Kafka support,13
727,XD-2135,xd,sabby,Acceptance Criteria,2014-10-20 10:17:22.882,nan,3
728,XD-2131,xd,sabby,summary,2015-10-07 16:29:10.993,Add S3 sink,11
731,XD-2129,xd,sabby,summary,2015-10-07 16:29:44.065,Add S3 source,13
766,XD-2090,xd,sabby,Out of Scope,2014-10-16 13:40:14.751,REST API,8
784,XD-2075,xd,grussell,description,2014-08-10 10:01:07.479,See,3
826,XD-1975,xd,thomas.risberg,Comment,2014-07-16 06:18:29.740,Pull Request:,13
839,XD-1915,xd,mark.fisher,Comment,2014-07-07 07:47:55.215,,0
854,XD-1863,xd,eric.bottard,Comment,2014-06-25 05:49:30.500,PR is at,8
872,XD-1799,xd,grussell,description,2014-06-02 21:08:59.153,,0
876,XD-1786,xd,grussell,description,2014-06-09 11:35:31.305,PR:,3
1029,XD-1385,xd,grenfro,description,2014-03-20 10:34:14.832,nan,3
1044,XD-1344,xd,mark.fisher,Comment,2014-05-01 13:34:06.092,PR:,3
1061,XD-1299,xd,eric.bottard,summary,2014-06-25 06:17:06.440,Move out of,11
1085,XD-1236,xd,thomas.risberg,description,2014-01-23 15:36:24.262,nan,3
1220,XD-840,xd,grussell,description,2013-09-11 16:55:35.901,As of and,9
1247,XD-713,xd,mark.pollack,description,2014-01-27 20:55:50.001,nan,3
1381,XD-282,xd,mark.fisher,Comment,2013-11-04 15:22:14.515,,0
1399,XD-246,xd,mminella,summary,2013-06-18 18:30:32.610,,0
1446,XD-125,xd,mark.pollack,description,2013-05-29 22:58:36.836,nan,3
1474,XD-33,xd,mark.fisher,summary,2013-05-01 14:37:02.483,Implement,9
1476,XD-32,xd,rudovichenko,Comment,2014-08-08 04:27:16.703,1,1
1484,XD-28,xd,rudovichenko,Comment,2014-08-11 01:42:13.314,1,1
1497,XD-8,xd,rudovichenko,Comment,2014-08-08 04:26:44.477,Comment,7
1508,DNN-27686,dnn,cnurse,summary,2013-07-29 17:49:45.849,Cache data,10
